番号,山名,別名,山頂名,読み,都道府県,標高,所在地,地図,緯度,経度,三角点名等,備考
526,横通岳,"","",よことおしだけ,長野県,2767,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.3425/137.72694444444446,36°20′33″,137°43′37″,赤樽,""
527,常念岳,"","",じょうねんだけ,長野県,2857,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.32555555555556/137.7275,36°19′32″,137°43′39″,標高点,""
528,蝶ヶ岳,"","",ちょうがたけ,長野県,2677,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.2875/137.72611111111112,36°17′15″,137°43′34″,標高点,""
529,大滝山,"","",おおたきやま,長野県,2616,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.274166666666666/137.7433333333333,36°16′27″,137°44′36″,標高点,""
530,赤岩岳,"","",あかいわだけ,長野県,2769,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.343333333333334/137.68416666666667,36°20′36″,137°41′03″,筆波美,""
531,西岳,"","",にしだけ,長野県,2758,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.33722222222222/137.67944444444444,36°20′14″,137°40′46″,標高点,""
532,赤沢山,"","",あかさわやま,長野県,2670,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.32916666666667/137.6797222222222,36°19′45″,137°40′47″,赤沢山,""
533,槍ヶ岳,"","",やりがたけ,長野県,3180,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.341944444444444/137.64749999999998,36°20′31″,137°38′51″,標高点,""
534,大喰岳,"","",おおばみだけ,"長野県, 岐阜県",3101,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.33583333333333/137.64583333333331,36°20′09″,137°38′45″,標高点,""
535,中岳,"","",なかだけ,"長野県, 岐阜県",3084,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.32972222222222/137.64666666666665,36°19′47″,137°38′48″,標高点,なかのだけ
536,南岳,"","",みなみだけ,"長野県, 岐阜県",3033,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.31888888888889/137.65083333333334,36°19′08″,137°39′03″,北穂高,""
537,北穂高岳,"","",きたほたかだけ,"長野県, 岐阜県",3106,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.302499999999995/137.65194444444444,36°18′09″,137°39′07″,標高点,""
538,涸沢岳,"","",からさわだけ,"長野県, 岐阜県",3110,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.295833333333334/137.64694444444444,36°17′45″,137°38′49″,標高点,""
539,奥穂高岳,"","",おくほたかだけ,"長野県, 岐阜県",3190,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.28916666666667/137.64805555555554,36°17′21″,137°38′53″,標高点,""
540,前穂高岳,"","",まえほたかだけ,長野県,3090,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.28194444444444/137.66055555555556,36°16′55″,137°39′38″,穂高岳,""
541,西穂高岳,"","",にしほたかだけ,"長野県, 岐阜県",2909,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.278888888888886/137.62916666666666,36°16′44″,137°37′45″,前穂高,""
542,焼岳,"","",やけだけ,"長野県, 岐阜県",2455,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.22694444444445/137.58694444444444,36°13′37″,137°35′13″,焼岳,""
543,霞沢岳,"","",かすみざわだけ,長野県,2646,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.221111111111114/137.64055555555555,36°13′16″,137°38′26″,霞沢岳,""
544,十石山,"","",じゅっこくやま,"長野県, 岐阜県",2525,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.16361111111111/137.59055555555557,36°09′49″,137°35′26″,十石山,""
545,輝山,"","",てらしやま,岐阜県,2063,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.19416666666666/137.52222222222224,36°11′39″,137°31′20″,貝塩,""
546,乗鞍岳,"",剣ヶ峰,のりくらだけ<けんがみね>,"岐阜県, 長野県",3026,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.10638888888889/137.5536111111111,36°06′23″,137°33′13″,乗鞍岳,""
547,鎌ヶ峰,"","",かまがみね,"長野県, 岐阜県",2121,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.026666666666664/137.5991666666667,36°01′36″,137°35′57″,鎌ケ峰,""
548,鉢盛山,"","",はちもりやま,長野県,2447,飛騨山脈南部,https://maps.gsi.go.jp/#15/36.086666666666666/137.75472222222223,36°05′12″,137°45′17″,鉢盛山,Ｈ26三角点標高改訂
549,御嶽山,"",剣ヶ峰,おんたけさん<けんがみね>,長野県,3067,御嶽山とその周辺,https://maps.gsi.go.jp/#15/35.89277777777778/137.4802777777778,35°53′34″,137°28′49″,測定点,""
550,小秀山,"","",こひでやま,"長野県, 岐阜県",1982,御嶽山とその周辺,https://maps.gsi.go.jp/#15/35.785555555555554/137.39694444444444,35°47′08″,137°23′49″,小秀山,""
551,奥三界岳,"","",おくさんがいだけ,"岐阜県, 長野県",1811,御嶽山とその周辺,https://maps.gsi.go.jp/#15/35.681666666666665/137.50722222222223,35°40′54″,137°30′26″,奥三階,Ｈ26三角点標高改訂
552,尾城山,"","",おしろやま,岐阜県,1133,御嶽山とその周辺,https://maps.gsi.go.jp/#15/35.69583333333333/137.3438888888889,35°41′45″,137°20′38″,尾城,おじろやま
553,二ッ森山,"","",ふたつもりやま,岐阜県,1223,御嶽山とその周辺,https://maps.gsi.go.jp/#15/35.57194444444445/137.40027777777777,35°34′19″,137°24′01″,二ツ森,""
554,経ヶ岳,"","",きょうがたけ,長野県,2296,木曽山脈,https://maps.gsi.go.jp/#15/35.91277777777778/137.86249999999998,35°54′46″,137°51′45″,経ケ岳,""
555,大棚入山,"","",おおだないりやま,長野県,2375,木曽山脈,https://maps.gsi.go.jp/#15/35.84805555555556/137.81,35°50′53″,137°48′36″,大棚入,""
556,将棊頭山,"","",しょうぎがしらやま,長野県,2730,木曽山脈,https://maps.gsi.go.jp/#15/35.80333333333333/137.82694444444445,35°48′12″,137°49′37″,標高点,しょうぎのかしらやま
557,将棊頭山,"",茶臼山,しょうぎがしらやま<ちゃうすやま>,長野県,2658,木曽山脈,https://maps.gsi.go.jp/#15/35.81472222222222/137.82166666666666,35°48′53″,137°49′18″,標高点,""
558,駒ヶ岳,"","",こまがたけ,長野県,2956,木曽山脈,https://maps.gsi.go.jp/#15/35.78944444444444/137.80444444444444,35°47′22″,137°48′16″,信駒ケ岳,木曽駒ヶ岳（きそこまがたけ）　西駒ヶ岳（にしこまがたけ）
559,駒ヶ岳,"",宝剣岳,こまがたけ<ほうけんだけ>,長野県,2931,木曽山脈,https://maps.gsi.go.jp/#15/35.78138888888889/137.80916666666667,35°46′53″,137°48′33″,標高点,""
560,駒ヶ岳,"",麦草岳,こまがたけ<むぎくさだけ>,長野県,2733,木曽山脈,https://maps.gsi.go.jp/#15/35.79666666666667/137.7861111111111,35°47′48″,137°47′10″,標高点,""
561,三沢岳,"","",さんのさわだけ,長野県,2847,木曽山脈,https://maps.gsi.go.jp/#15/35.766666666666666/137.79416666666665,35°46′00″,137°47′39″,三ノ沢,三ノ沢岳（さんのさわだけ）　Ｈ26三角点標高改訂
562,檜尾岳,"","",ひのきおだけ,長野県,2728,木曽山脈,https://maps.gsi.go.jp/#15/35.75194444444445/137.81333333333333,35°45′07″,137°48′48″,梯子樽,""
563,熊沢岳,"","",くまざわだけ,長野県,2778,木曽山脈,https://maps.gsi.go.jp/#15/35.73916666666667/137.80333333333334,35°44′21″,137°48′12″,標高点,""
564,東川岳,"","",ひがしかわだけ,長野県,2671,木曽山脈,https://maps.gsi.go.jp/#15/35.72527777777778/137.80555555555557,35°43′31″,137°48′20″,標高点,""
565,空木岳,"","",うつぎだけ,長野県,2864,木曽山脈,https://maps.gsi.go.jp/#15/35.71888888888889/137.81722222222223,35°43′08″,137°49′02″,駒ケ岳,""
566,南駒ヶ岳,"","",みなみこまがたけ,長野県,2841,木曽山脈,https://maps.gsi.go.jp/#15/35.70138888888889/137.81083333333333,35°42′05″,137°48′39″,標高点,""
567,南駒ヶ岳,"",赤梛岳,みなみこまがたけ<あかなぎだけ>,長野県,2798,木曽山脈,https://maps.gsi.go.jp/#15/35.70611111111111/137.81555555555556,35°42′22″,137°48′56″,標高点,""
568,仙涯嶺,"","",せんがいれい,長野県,2734,木曽山脈,https://maps.gsi.go.jp/#15/35.69222222222222/137.81361111111113,35°41′32″,137°48′49″,標高点,""
569,越百山,"","",こすもやま,長野県,2614,木曽山脈,https://maps.gsi.go.jp/#15/35.67944444444444/137.80333333333334,35°40′46″,137°48′12″,越百,Ｈ26三角点標高改訂
570,安平路山,"","",あんぺいじやま,長野県,2363,木曽山脈,https://maps.gsi.go.jp/#15/35.63055555555555/137.77444444444447,35°37′50″,137°46′28″,二ツ薙,""
571,摺古木山,"","",すりこぎやま,長野県,2169,木曽山脈,https://maps.gsi.go.jp/#15/35.61277777777778/137.73749999999998,35°36′46″,137°44′15″,摺小木山,""
572,南木曽岳,"","",なぎそだけ,長野県,1679,木曽山脈,https://maps.gsi.go.jp/#15/35.5925/137.64416666666665,35°35′33″,137°38′39″,標高点,""
573,風越山,権現山,"",かざこしやま（ごんげんやま）,長野県,1535,木曽山脈,https://maps.gsi.go.jp/#15/35.54944444444444/137.7838888888889,35°32′58″,137°47′02″,権現山,""
574,恵那山,"","",えなさん,"長野県, 岐阜県",2191,木曽山脈,https://maps.gsi.go.jp/#15/35.44361111111111/137.59722222222223,35°26′37″,137°35′50″,標高点,""
575,守屋山,"","",もりやさん,長野県,1651,赤石山脈北部,https://maps.gsi.go.jp/#15/35.9675/138.09333333333333,35°58′03″,138°05′36″,守屋山,Ｈ26三角点標高改訂
576,入笠山,"","",にゅうがさやま,長野県,1955,赤石山脈北部,https://maps.gsi.go.jp/#15/35.896388888888886/138.17166666666665,35°53′47″,138°10′18″,入笠山,""
577,鋸岳,"","",のこぎりだけ,"山梨県, 長野県",2685,赤石山脈北部,https://maps.gsi.go.jp/#15/35.778888888888886/138.20999999999998,35°46′44″,138°12′36″,標高点,山名変更：Ｈ2関係自治体からの申請による
578,駒ヶ岳,"","",こまがたけ,"山梨県, 長野県",2967,赤石山脈北部,https://maps.gsi.go.jp/#15/35.75805555555556/138.23666666666665,35°45′29″,138°14′12″,標高点,甲斐駒ヶ岳（かいこまがたけ）　東駒ヶ岳（ひがしこまがたけ）
579,駒津峰,"","",こまつみね,"山梨県, 長野県",2752,赤石山脈北部,https://maps.gsi.go.jp/#15/35.75472222222222/138.23083333333332,35°45′17″,138°13′51″,標高点,""
580,双児山,"","",ふたごやま,"山梨県, 長野県",2649,赤石山脈北部,https://maps.gsi.go.jp/#15/35.75083333333333/138.2213888888889,35°45′03″,138°13′17″,標高点,""
581,アサヨ峰,"","",あさよみね,山梨県,2799,赤石山脈北部,https://maps.gsi.go.jp/#15/35.73166666666667/138.24138888888888,35°43′54″,138°14′29″,鳳凰山,""
582,アサヨ峰,"",栗沢山,あさよみね<くりさわやま>,山梨県,2714,赤石山脈北部,https://maps.gsi.go.jp/#15/35.738055555555555/138.23416666666665,35°44′17″,138°14′03″,標高点,""
583,高嶺,"","",たかみね,山梨県,2779,赤石山脈北部,https://maps.gsi.go.jp/#15/35.709722222222226/138.28777777777776,35°42′35″,138°17′16″,高嶺,たかね
584,地蔵ヶ岳,"","",じぞうがたけ,山梨県,2764,赤石山脈北部（鳳凰山）,https://maps.gsi.go.jp/#15/35.71222222222222/138.29861111111111,35°42′44″,138°17′55″,標高点,""
585,観音ヶ岳,"","",かんのんがだけ,山梨県,2841,赤石山脈北部（鳳凰山）,https://maps.gsi.go.jp/#15/35.70166666666667/138.30472222222224,35°42′06″,138°18′17″,観音岳,Ｈ26三角点標高改訂　山名変更：Ｈ17関係自治体の申請による
586,薬師ヶ岳,"","",やくしがだけ,山梨県,2780,赤石山脈北部（鳳凰山）,https://maps.gsi.go.jp/#15/35.69611111111111/138.31166666666667,35°41′46″,138°18′42″,標高点,山名変更：Ｈ17関係自治体の申請による
587,辻山,"","",つじやま,山梨県,2585,赤石山脈北部,https://maps.gsi.go.jp/#15/35.67638888888889/138.32194444444445,35°40′35″,138°19′19″,辻,""
588,櫛形山,"","",くしがたやま,山梨県,2052,赤石山脈北部,https://maps.gsi.go.jp/#15/35.586666666666666/138.36916666666667,35°35′12″,138°22′09″,奥仙重,""
589,仙丈ヶ岳,"","",せんじょうがたけ,"山梨県, 長野県",3033,赤石山脈北部,https://maps.gsi.go.jp/#15/35.72/138.1836111111111,35°43′12″,138°11′01″,前岳,""
590,伊那荒倉岳,"","",いなあらくらだけ,"山梨県, 長野県",2519,赤石山脈北部,https://maps.gsi.go.jp/#15/35.689166666666665/138.19416666666666,35°41′21″,138°11′39″,標高点,""
591,小太郎山,"","",こたろうやま,山梨県,2725,赤石山脈北部,https://maps.gsi.go.jp/#15/35.700833333333335/138.23999999999998,35°42′03″,138°14′24″,小太郎岳,""
592,北岳,"","",きただけ,山梨県,3193,赤石山脈北部（白根山）,https://maps.gsi.go.jp/#15/35.67444444444444/138.23888888888888,35°40′28″,138°14′20″,測定点,Ｈ16現地計測による標高改訂
593,間ノ岳,"","",あいのだけ,"山梨県, 静岡県",3190,赤石山脈北部（白根山）,https://maps.gsi.go.jp/#15/35.64611111111111/138.22833333333332,35°38′46″,138°13′42″,相ノ岳,Ｈ26三角点標高改訂
594,農鳥岳,"",西農鳥岳,のうとりだけ<にしのうとりだけ>,"山梨県, 静岡県",3051,赤石山脈北部（白根山）,https://maps.gsi.go.jp/#15/35.624722222222225/138.2302777777778,35°37′29″,138°13′49″,標高点,""
595,農鳥岳,"","",のうとりだけ,"山梨県, 静岡県",3026,赤石山脈北部（白根山）,https://maps.gsi.go.jp/#15/35.62111111111111/138.23694444444442,35°37′16″,138°14′13″,農鳥山,""
596,大唐松山,"","",おおからまつやま,山梨県,2561,赤石山脈北部,https://maps.gsi.go.jp/#15/35.62166666666667/138.26944444444445,35°37′18″,138°16′10″,標高点,""
597,広河内岳,"","",ひろごうちだけ,"山梨県, 静岡県",2895,赤石山脈北部,https://maps.gsi.go.jp/#15/35.60611111111111/138.23583333333332,35°36′22″,138°14′09″,標高点,""
598,大籠岳,"","",おおかごだけ,"山梨県, 静岡県",2767,赤石山脈北部,https://maps.gsi.go.jp/#15/35.59305555555556/138.2433333333333,35°35′35″,138°14′36″,大籠,おおごもりだけ
599,笹山,"","",ささやま,"山梨県, 静岡県",2733,赤石山脈北部,https://maps.gsi.go.jp/#15/35.571111111111115/138.24388888888888,35°34′16″,138°14′38″,標高点,黒河内岳（くろこうちだけ）
600,黒檜山,"","",くろべいやま,長野県,2541,赤石山脈北部,https://maps.gsi.go.jp/#15/35.644444444444446/138.1861111111111,35°38′40″,138°11′10″,黒檜山,Ｈ26三角点標高改訂
601,安倍荒倉岳,"","",あべあらくらだけ,"長野県, 静岡県",2693,赤石山脈北部,https://maps.gsi.go.jp/#15/35.62305555555555/138.20305555555555,35°37′23″,138°12′11″,安部荒倉,""
602,新蛇抜山,"","",しんじゃぬけやま,"長野県, 静岡県",2667,赤石山脈北部,https://maps.gsi.go.jp/#15/35.60722222222223/138.20527777777778,35°36′26″,138°12′19″,標高点,""
603,北荒川岳,"","",きたあらかわだけ,長野県,2698,赤石山脈北部,https://maps.gsi.go.jp/#15/35.594722222222224/138.19444444444446,35°35′41″,138°11′40″,伊那荒倉,""
604,塩見岳,"","",しおみだけ,"長野県, 静岡県",3047,赤石山脈北部,https://maps.gsi.go.jp/#15/35.573888888888895/138.18305555555554,35°34′26″,138°10′59″,塩見山,""
605,蝙蝠岳,"","",こうもりだけ,静岡県,2865,赤石山脈北部,https://maps.gsi.go.jp/#15/35.55694444444444/138.2072222222222,35°33′25″,138°12′26″,中俣,""
606,徳右衛門岳,"","",とくえもんだけ,静岡県,2599,赤石山脈北部,https://maps.gsi.go.jp/#15/35.53944444444444/138.2263888888889,35°32′22″,138°13′35″,飛瀬,""
607,本谷山,"","",ほんたにやま,"長野県, 静岡県",2658,赤石山脈北部,https://maps.gsi.go.jp/#15/35.57083333333334/138.15166666666667,35°34′15″,138°09′06″,黒川,""
608,戸倉山,伊那富士,"",とくらやま（いなふじ）,長野県,1681,赤石山脈北部,https://maps.gsi.go.jp/#15/35.745/138.05194444444444,35°44′42″,138°03′07″,戸倉山,""
609,烏帽子岳,"","",えぼしだけ,"長野県, 静岡県",2726,赤石山脈南部,https://maps.gsi.go.jp/#15/35.55361111111111/138.1536111111111,35°33′13″,138°09′13″,標高点,""
610,小河内岳,"","",こごうちだけ,"長野県, 静岡県",2802,赤石山脈南部,https://maps.gsi.go.jp/#15/35.53777777777778/138.15305555555557,35°32′16″,138°09′11″,小河内,""
611,小日影山,"","",こひかげやま,長野県,2506,赤石山脈南部,https://maps.gsi.go.jp/#15/35.525277777777774/138.1263888888889,35°31′31″,138°07′35″,小日影山,Ｈ26三角点標高改訂
612,大日影山,"","",おおひかげやま,"長野県, 静岡県",2573,赤石山脈南部,https://maps.gsi.go.jp/#15/35.52222222222222/138.13833333333332,35°31′20″,138°08′18″,標高点,""
613,板屋岳,"","",いたやだけ,"長野県, 静岡県",2646,赤石山脈南部,https://maps.gsi.go.jp/#15/35.518055555555556/138.1461111111111,35°31′05″,138°08′46″,標高点,""
614,東岳,悪沢岳,"",ひがしだけ（わるさわだけ）,静岡県,3141,赤石山脈南部,https://maps.gsi.go.jp/#15/35.50083333333333/138.1825,35°30′03″,138°10′57″,標高点,あずまだけ　荒川東岳（あらかわひがしだけ）
615,荒川岳,"",中岳,あらかわだけ<なかだけ>,静岡県,3084,赤石山脈南部,https://maps.gsi.go.jp/#15/35.49666666666667/138.16694444444443,35°29′48″,138°10′01″,荒川岳,Ｈ26三角点標高改訂
616,荒川岳,"",前岳,あらかわだけ<まえだけ>,"長野県, 静岡県",3068,赤石山脈南部,https://maps.gsi.go.jp/#15/35.494166666666665/138.16416666666666,35°29′39″,138°09′51″,標高点,""
617,赤石岳,"","",あかいしだけ,"長野県, 静岡県",3121,赤石山脈南部,https://maps.gsi.go.jp/#15/35.461111111111116/138.15722222222223,35°27′40″,138°09′26″,赤石岳,Ｈ26三角点標高改訂
618,奥茶臼山,"","",おくちゃうすやま,長野県,2474,赤石山脈南部,https://maps.gsi.go.jp/#15/35.485/138.06916666666666,35°29′06″,138°04′09″,奥茶臼山,""
619,鬼面山,"","",きめんざん,長野県,1890,赤石山脈南部,https://maps.gsi.go.jp/#15/35.49194444444444/137.99027777777778,35°29′31″,137°59′25″,鬼面山,Ｈ26三角点標高改訂
620,大沢岳,"","",おおさわだけ,"長野県, 静岡県",2820,赤石山脈南部,https://maps.gsi.go.jp/#15/35.44888888888889/138.12027777777777,35°26′56″,138°07′13″,大沢岳,Ｈ26三角点標高改訂
621,中盛丸山,"","",なかもりまるやま,"長野県, 静岡県",2807,赤石山脈南部,https://maps.gsi.go.jp/#15/35.44277777777778/138.12194444444447,35°26′34″,138°07′19″,標高点,""
622,兎岳,"","",うさぎだけ,"長野県, 静岡県",2818,赤石山脈南部,https://maps.gsi.go.jp/#15/35.42861111111111/138.1211111111111,35°25′43″,138°07′16″,標高点,""
623,聖岳,"",前聖岳,ひじりだけ<まえひじりだけ>,"長野県, 静岡県",3013,赤石山脈南部,https://maps.gsi.go.jp/#15/35.422777777777775/138.13972222222222,35°25′22″,138°08′23″,標高点,""
624,上河内岳,"","",かみこうちだけ,静岡県,2803,赤石山脈南部,https://maps.gsi.go.jp/#15/35.38972222222222/138.15277777777777,35°23′23″,138°09′10″,上河内岳,""
625,茶臼岳,"","",ちゃうすだけ,"長野県, 静岡県",2604,赤石山脈南部,https://maps.gsi.go.jp/#15/35.369166666666665/138.14055555555555,35°22′09″,138°08′26″,標高点,""
626,仁田岳,"","",にっただけ,静岡県,2524,赤石山脈南部,https://maps.gsi.go.jp/#15/35.36083333333333/138.12722222222223,35°21′39″,138°07′38″,仁田岳,""
627,光岳,"","",てかりだけ,"静岡県, 長野県",2592,赤石山脈南部,https://maps.gsi.go.jp/#15/35.338055555555556/138.0838888888889,35°20′17″,138°05′02″,光岳,Ｈ26三角点標高改訂
628,池口岳,"","",いけぐちだけ,"長野県, 静岡県",2392,赤石山脈南部,https://maps.gsi.go.jp/#15/35.33027777777778/138.03833333333333,35°19′49″,138°02′18″,標高点,""
629,白倉山,"","",しらくらやま,"長野県, 静岡県",1851,赤石山脈南部,https://maps.gsi.go.jp/#15/35.30166666666666/137.9922222222222,35°18′06″,137°59′32″,標高点,""
630,熊伏山,"","",くまぶしやま,長野県,1654,赤石山脈南部,https://maps.gsi.go.jp/#15/35.263333333333335/137.89499999999998,35°15′48″,137°53′42″,熊伏山,Ｈ26三角点標高改訂
631,大無間山,"","",だいむげんざん,静岡県,2330,赤石山脈南部,https://maps.gsi.go.jp/#15/35.25611111111111/138.16166666666666,35°15′22″,138°09′42″,大無間山,だいむけんざん　Ｈ26三角点標高改訂
632,不動岳,"","",ふどうがたけ,静岡県,2172,赤石山脈南部,https://maps.gsi.go.jp/#15/35.23555555555556/138.04111111111112,35°14′08″,138°02′28″,不動ケ岳,Ｈ26三角点標高改訂
633,黒法師岳,"","",くろぼうしがたけ,静岡県,2068,赤石山脈南部,https://maps.gsi.go.jp/#15/35.19611111111111/138.02944444444447,35°11′46″,138°01′46″,黒法師岳,Ｈ26三角点標高改訂
634,蕎麦粒山,"","",そばつぶやま,静岡県,1627,赤石山脈南部,https://maps.gsi.go.jp/#15/35.126111111111115/138.03527777777776,35°07′34″,138°02′07″,川東,""
635,高塚山,"","",たかつかやま,静岡県,1621,赤石山脈南部,https://maps.gsi.go.jp/#15/35.11555555555556/138.0036111111111,35°06′56″,138°00′13″,京丸山,""
636,京丸山,"","",きょうまるやま,静岡県,1470,赤石山脈南部,https://maps.gsi.go.jp/#15/35.096111111111114/137.96583333333334,35°05′46″,137°57′57″,堂木,Ｈ26三角点標高改訂
637,秋葉山,"","",あきはさん,静岡県,885,赤石山脈南部,https://maps.gsi.go.jp/#15/34.98166666666667/137.8661111111111,34°58′54″,137°51′58″,標高点,""
638,八高山,"","",はっこうさん,静岡県,832,赤石山脈南部,https://maps.gsi.go.jp/#15/34.9075/138.05666666666667,34°54′27″,138°03′24″,八高山,""
639,笊ヶ岳,"","",ざるがたけ,"山梨県, 静岡県",2629,赤石山脈南部,https://maps.gsi.go.jp/#15/35.424166666666665/138.25944444444445,35°25′27″,138°15′34″,笊ケ岳,""
640,布引山,"","",ぬのびきやま,"山梨県, 静岡県",2584,赤石山脈南部,https://maps.gsi.go.jp/#15/35.40861111111111/138.25833333333333,35°24′31″,138°15′30″,大布引,千挺木山（せんちょうぎやま）
641,青薙山,"","",あおなぎやま,静岡県,2406,赤石山脈南部,https://maps.gsi.go.jp/#15/35.36972222222222/138.22861111111112,35°22′11″,138°13′43″,青薙岳,""
642,身延山,"","",みのぶさん,山梨県,1153,身延山地,https://maps.gsi.go.jp/#15/35.3975/138.4163888888889,35°23′51″,138°24′59″,標高点,""
643,七面山,"","",しちめんざん,山梨県,1989,身延山地,https://maps.gsi.go.jp/#15/35.36944444444445/138.3488888888889,35°22′10″,138°20′56″,標高点,""
644,山伏,"","",やんぶし,"山梨県, 静岡県",2013,身延山地,https://maps.gsi.go.jp/#15/35.30444444444444/138.28527777777776,35°18′16″,138°17′07″,山伏峠,Ｈ22三角点改測
645,十枚山,"","",じゅうまいざん,"静岡県, 山梨県",1726,身延山地,https://maps.gsi.go.jp/#15/35.25361111111111/138.37805555555556,35°15′13″,138°22′41″,標高点,""
646,篠井山,"","",しのいさん,山梨県,1394,身延山地,https://maps.gsi.go.jp/#15/35.24777777777778/138.42638888888888,35°14′52″,138°25′35″,篠井山,""
647,[高ドッキョウ],"","",[たかどっきょう],"山梨県, 静岡県",1133,身延山地,https://maps.gsi.go.jp/#15/35.17861111111111/138.43805555555556,35°10′43″,138°26′17″,太平村,Ｈ26三角点標高改訂
648,竜爪山,"","",りゅうそうざん,静岡県,1051,身延山地,https://maps.gsi.go.jp/#15/35.08833333333334/138.4036111111111,35°05′18″,138°24′13″,標高点,""
649,久能山,"","",くのうざん,静岡県,216,身延山地,https://maps.gsi.go.jp/#15/34.96611111111111/138.46805555555557,34°57′58″,138°28′05″,標高点,""
650,茶臼山,"","",ちゃうすやま,"長野県, 愛知県",1416,美濃・三河高原,https://maps.gsi.go.jp/#15/35.2275/137.65555555555557,35°13′39″,137°39′20″,茶臼山,Ｈ26三角点標高改訂
651,鷹ノ巣山,"","",たかのすやま,愛知県,1153,美濃・三河高原,https://maps.gsi.go.jp/#15/35.152499999999996/137.49499999999998,35°09′09″,137°29′42″,段戸山Ⅰ,Ｈ26三角点標高改訂　山名変更：Ｈ17関係自治体からの申請による
652,鳳来寺山,"","",ほうらいじさん,愛知県,695,美濃・三河高原,https://maps.gsi.go.jp/#15/34.98416666666667/137.58277777777778,34°59′03″,137°34′58″,標高点,""
653,本宮山,"","",ほんぐうさん,愛知県,789,美濃・三河高原,https://maps.gsi.go.jp/#15/34.90972222222222/137.42055555555555,34°54′35″,137°25′14″,三本宮山,""
654,猿投山,"","",さなげやま,愛知県,629,美濃・三河高原,https://maps.gsi.go.jp/#15/35.20583333333334/137.16694444444443,35°12′21″,137°10′01″,猿投山,""
655,金華山,"","",きんかざん,岐阜県,329,美濃・三河高原,https://maps.gsi.go.jp/#15/35.43333333333333/136.7813888888889,35°26′00″,136°46′53″,金花山,""
656,宝立山,"","",ほうりゅうざん,石川県,471,能登半島,https://maps.gsi.go.jp/#15/37.42861111111111/137.1625,37°25′43″,137°09′45″,標高点,""
657,鉢伏山,"","",はちぶせやま,石川県,544,能登半島,https://maps.gsi.go.jp/#15/37.37777777777778/136.97083333333333,37°22′40″,136°58′15″,鉢伏山,""
658,石動山,"","",せきどうさん,石川県,564,宝達丘陵,https://maps.gsi.go.jp/#15/36.96555555555556/136.97083333333333,36°57′56″,136°58′15″,標高点,""
659,宝達山,"","",ほうだつさん,石川県,637,宝達丘陵,https://maps.gsi.go.jp/#15/36.78194444444444/136.81305555555556,36°46′55″,136°48′47″,宝達山,""
660,二上山,"","",ふたがみやま,富山県,274,宝達丘陵,https://maps.gsi.go.jp/#15/36.79/137.01527777777778,36°47′24″,137°00′55″,標高点,""
661,牛岳,"","",うしだけ,富山県,987,飛騨高地,https://maps.gsi.go.jp/#15/36.54111111111111/137.03166666666667,36°32′28″,137°01′54″,鍬崎,""
662,白木峰,"","",しらきみね,"富山県, 岐阜県",1596,飛騨高地,https://maps.gsi.go.jp/#15/36.41555555555556/137.11222222222221,36°24′56″,137°06′44″,標高点,""
663,金剛堂山,"","",こんごうどうざん,富山県,1650,飛騨高地,https://maps.gsi.go.jp/#15/36.37888888888889/137.04888888888888,36°22′44″,137°02′56″,標高点,""
664,人形山,"","",にんぎょうやま,"岐阜県, 富山県",1726,飛騨高地,https://maps.gsi.go.jp/#15/36.348888888888894/136.93972222222223,36°20′56″,136°56′23″,標高点,""
665,三ヶ辻山,"","",みつがつじやま,岐阜県,1764,飛騨高地,https://maps.gsi.go.jp/#15/36.338055555555556/136.95,36°20′17″,136°57′00″,三ケ辻,""
666,猿ヶ馬場山,"","",さるがばばやま,岐阜県,1875,飛騨高地,https://maps.gsi.go.jp/#15/36.225833333333334/136.9427777777778,36°13′33″,136°56′34″,標高点,さるがばんばやま
667,御前岳,"","",ごぜんだけ,岐阜県,1816,飛騨高地,https://maps.gsi.go.jp/#15/36.198055555555555/136.96027777777778,36°11′53″,136°57′37″,御前岳,""
668,大雨見山,"","",おおあまみやま,岐阜県,1336,飛騨高地,https://maps.gsi.go.jp/#15/36.25333333333333/137.29861111111111,36°15′12″,137°17′55″,大雨見山,""
